,open,high,low,close,volume,EMA,SMA,T3,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK,FastD,FastK,RSI,WILLR,ADX,CCI,ROC,Aroon Down,Aroon Up,MFI,TRIX,Real Lower Band,Real Middle Band,Real Upper Band,DX,Chaikin A/D,OBV,PHASE,QUADRATURE,ADOSC,buy_label,ACTIVE_ABNB,ACTIVE_BWA,ACTIVE_CHWY,ACTIVE_NKE,ACTIVE_SBUX
138,143.85,150.41,143.2801,149.99,23425864,142.1231,140.8325,141.09,-23.1509,-5.5395,-17.6114,38.3401,56.3764,56.3764,87.5056,49.6351,-2.1382,26.0558,123.0396,-4.1511,50.0,0.0,47.4062,-0.9883,127.8603,140.8325,153.8047,16.4425,221706759.3763,94019621.0,3.9497,-8.8858,23757661.3235,1,True,False,False,False,False
137,148.74,152.76,144.51,152.76,42982612,144.7699,140.77,141.9101,-20.2167,-1.1214,-19.0953,54.6843,79.353,79.353,100.0,59.5561,-0.0,26.7538,81.476,-0.1678,25.0,100.0,79.0157,-0.4577,127.9542,140.77,153.5858,28.8479,264689371.3763,137002233.0,-0.6756,-9.181,38044939.8698,0,True,False,False,False,False
136,151.99,152.03,141.5,143.7,28494200,147.6579,145.9275,144.3516,-16.3714,3.2789,-19.6503,72.7042,82.3831,82.3831,59.6437,65.5668,-58.2262,20.762,-18.1259,15.7049,0.0,75.0,76.4662,0.1279,136.1712,145.9275,155.6838,2.7865,248101579.7334,108508033.0,-1.8283,-11.6451,35153171.0369,1,True,False,False,False,False
135,144.9,163.0587,144.15,154.18,46153684,146.5547,147.37,145.8236,-14.1411,5.6168,-19.7579,78.9463,75.1027,75.1027,65.6646,45.7778,-41.1838,28.3473,116.3082,4.1472,0.0,100.0,80.3773,0.1971,140.9115,147.37,153.8285,51.1032,250911753.6951,154661717.0,-10.0642,-10.5469,31668578.1352,1,True,False,False,False,False
134,154.41,160.64,151.92,158.0,23460634,149.6968,150.01,148.0092,-12.2609,7.0398,-19.3007,74.9223,67.2811,67.2811,76.5352,64.7856,-23.4648,34.0363,94.0302,7.341,50.0,75.0,80.575,0.5357,142.8682,150.01,157.1518,51.1032,260166866.1905,178122351.0,-11.5963,10.2359,30308909.7299,1,True,False,False,False,False
133,159.72,168.2356,159.55,165.2,26804540,153.7061,152.755,151.3631,-10.6087,7.7811,-18.3898,73.1108,76.9485,76.9485,88.6459,72.0738,-11.3541,42.9276,112.7197,7.382,25.0,100.0,78.5225,1.0076,142.0996,152.755,163.4104,69.6017,268235138.892,204926891.0,-2.1523,17.6507,29564503.9936,1,True,False,False,False,False
132,160.25,170.0,154.79,166.59,43951969,156.3237,154.82,154.8745,-8.0688,8.8612,-16.9301,76.2117,84.4054,84.4054,88.0351,72.8224,-13.1915,39.4122,62.5825,5.4346,0.0,100.0,67.8355,1.2907,142.4884,154.82,167.1516,28.8658,292479518.8992,248878860.0,3.6862,15.0861,34286413.1044,1,True,False,False,False,False
131,162.24,176.96,159.445,175.88,29248582,158.6902,159.155,158.1013,-5.6022,9.3659,-14.9682,84.1612,91.1298,91.1298,96.7083,76.038,-4.3131,42.4471,126.0532,11.9669,0.0,100.0,64.4986,1.4276,153.3627,159.155,164.9473,51.5521,318121081.9372,278127442.0,9.6202,7.0759,41259835.6977,0,True,False,False,False,False
130,175.0,176.319,165.71,173.01,18329707,165.2141,164.3025,162.911,-3.5117,9.1474,-12.6592,88.3971,89.6562,89.6562,84.2252,88.0877,-17.8169,44.7234,75.2145,13.3346,0.0,75.0,63.5402,1.9245,151.808,164.3025,176.797,51.5521,325016534.9146,259797735.0,6.8563,-2.1234,42555713.0971,0,True,False,False,False,False
129,171.99,174.0999,160.63,169.97,15645690,167.9245,167.37,167.34,-0.8385,9.3415,-10.18,87.9736,83.1348,83.1348,68.4709,76.058,-31.5291,35.3408,-9.8244,7.6822,25.0,50.0,45.299,2.049,154.8571,167.37,179.8829,7.193,331068221.2277,244152045.0,5.4914,4.4181,41142680.124,0,True,False,False,False,False
128,170.0,176.75,166.63,169.18,19336009,168.7547,169.8075,170.196,2.7538,10.3815,-7.6277,81.7752,72.5346,72.5346,64.9075,67.8858,-44.4191,32.2285,29.2483,6.0842,0.0,25.0,81.3021,1.8275,160.372,169.8075,179.243,22.8915,321476643.6407,224816036.0,9.9349,5.8896,33772511.937,0,True,False,False,False,False
127,167.5,172.81,165.16,166.64,14132718,168.2528,171.1225,171.1561,5.4956,10.6937,-5.1981,71.274,58.1525,58.1525,41.0791,57.5313,-62.7171,26.478,-67.3221,3.2421,0.0,0.0,56.2879,1.3938,165.6298,171.1225,176.6152,9.2268,312812271.429,210683318.0,10.4882,1.2179,24930369.0716,1,True,False,False,False,False
126,166.69,172.65,166.65,170.66,13006605,167.6277,169.045,170.7926,7.7267,10.495,-2.7683,62.2521,56.0692,56.0692,62.2208,53.9748,-37.7792,22.1652,40.4241,-4.7486,25.0,50.0,52.4006,0.951,164.8595,169.045,173.2305,9.2268,317191161.779,223689923.0,10.2244,2.9469,20440014.9133,1,True,False,False,False,False
125,170.5,203.295,170.5,201.62,47475469,168.7766,168.6725,170.5658,9.6435,9.978,-0.3345,60.2266,66.458,66.458,96.0741,66.8335,-4.3923,37.1925,133.3333,-0.8663,0.0,100.0,86.0148,0.752,165.4465,168.6725,171.8985,82.2742,359817025.0113,271165392.0,13.3181,0.6789,30307643.3394,1,True,False,False,False,False
124,203.35,211.3361,187.5,206.54,46441664,182.606,177.01,176.6045,11.8825,9.7179,2.1645,68.3878,82.6361,82.6361,89.6135,92.1254,-10.3865,49.4365,90.6998,19.6176,25.0,100.0,89.6939,1.8938,146.463,177.01,207.557,86.1684,387569485.2649,317607056.0,12.265,-9.9348,40419488.3818,0,True,False,False,False,False
